27;1;134;19;154;0;1;0;1406238097
28;0;137;17;156;0;1;0;1406241098
27;1;139;17;158;0;1;0;1406274739
30;0;140;18;161;0;1;0;1406277231
30;0;141;17;160;0;1;0;1406277791
29;0;138;17;161;0;1;0;1406278328
30;0;141;17;160;0;1;0;1406278758
30;0;141;16;159;0;1;0;1406279000
30;0;143;15;160;0;1;0;1406279235
30;0;143;15;160;0;1;0;1406280266
30;0;151;11;159;0;1;0;1406281672
30;0;154;9;160;0;1;0;1406283174
30;0;158;8;163;0;1;0;1406284063
30;0;164;6;165;0;1;0;1406284964
30;0;164;6;165;0;1;0;1406288922
30;0;165;5;164;0;1;0;1406290210
30;0;166;5;165;0;1;0;1406291997
30;0;168;4;166;0;1;0;1406292787
30;0;168;4;165;0;1;0;1406296026
